number,value,lr,weight_decay,state,duration,duration_min
46,0.7565956991170422,0.00031584148255948106,4.819669220161335e-06,COMPLETE,0 days 00:47:30.477854,47.50796423333334
47,0.7283955206488799,0.00021348065831695246,2.8727662299331127e-06,PRUNED,0 days 00:12:10.616701,12.176945016666668
48,0.7049932143408149,7.550814036538066e-05,0.006768008669644673,PRUNED,0 days 00:12:08.271838,12.137863966666666
49,0.7257762523169966,0.00025250059584370485,1.1547392943622048e-06,PRUNED,0 days 00:12:11.713864,12.195231066666667
50,0.5096253976646313,8.493806034096682e-06,0.0006747773446218116,PRUNED,0 days 00:12:09.201032,12.153350533333334
51,0.7198018342600468,0.0002313087833517073,7.455556757173367e-06,PRUNED,0 days 00:12:11.244070,12.187401166666666
52,0.7416787080068665,0.0004643446891912763,4.701581041131136e-06,COMPLETE,0 days 00:29:49.077874,29.817964566666667
53,0.761888123617039,0.0005407835674001513,5.024783335894379e-06,COMPLETE,0 days 00:47:30.555377,47.509256283333336
54,0.7455621376502225,0.0003219012470398224,2.9031474227909704e-06,COMPLETE,0 days 00:47:31.358558,47.522642633333334
55,0.7151347298332855,0.00010027569640652501,5.765332356593567e-06,PRUNED,0 days 00:12:09.273365,12.154556083333334
56,0.7542003943067014,0.0005118369168234784,2.9403762849711264e-06,COMPLETE,0 days 00:32:47.912454,32.7985409
57,0.758963534052342,0.0009325299235325273,5.0157994364713675e-06,COMPLETE,0 days 00:35:41.935220,35.698920333333334
58,0.7467646614142697,0.000850973657526591,1.5415081358308148e-06,COMPLETE,0 days 00:26:52.549624,26.875827066666666
59,0.70382111543278,0.000860915249058878,4.179033766298315e-06,PRUNED,0 days 00:12:09.054478,12.150907966666667
