number,value,state,duration_min,w0_raw,w0,w1_raw,w1,w2_raw,w2,w3_raw,w3,w4_raw,w4,w5_raw,w5,w6_raw,w6
11,0.6295189446808875,PRUNED,12.210861466666667,0.15772771560638835,0.056493911892175674,0.5567063117053961,0.19939753413200378,0.21822389678772885,0.0781620517373085,0.7966817519748255,0.28535041213035583,0.6210396862911258,0.22244004905223846,0.14121922791924454,0.05058100447058678,17.051995043371814,6.107574939727783
12,0.7737919960043039,COMPLETE,71.41639456666667,0.2342562114452798,0.049537256360054016,0.15535607681065586,0.032852549105882645,0.15495118927928903,0.032766930758953094,1.1954000687952306,0.25278663635253906,21.412208892481427,4.527956962585449,1.3865600292016438,0.293210506439209,8.563491770698324,1.8108885288238525
13,0.7169041918892414,COMPLETE,27.067759183333333,0.8515867761337158,0.14427947998046875,0.20879620745790387,0.03537514805793762,0.14378248079935493,0.02436024509370327,0.9775146169251526,0.16561472415924072,25.7679611857102,4.365718364715576,0.9358588961902065,0.1585572361946106,12.430887939179497,2.1060943603515625
14,0.7734877828019998,COMPLETE,50.76814993333333,0.46494514301541934,0.08497336506843567,0.10108334748127852,0.018473990261554718,0.2550665101475756,0.046615950763225555,10.600450828041149,1.9373382329940796,7.669990532293959,1.401767373085022,12.064761804278108,2.204955816268921,7.145303501003524,1.3058756589889526
15,0.7961191780705034,COMPLETE,27.013328766666667,0.7889230574569869,0.10368495434522629,0.1753154033882188,0.02304099313914776,0.16769362252422065,0.022039292380213737,3.38960746192242,0.4454823434352875,19.006555632758566,2.4979543685913086,25.63672824414008,3.369331121444702,4.097109447221866,0.5384664535522461
16,0.7869901952447341,COMPLETE,33.026020683333336,1.716722811862859,0.34084710478782654,0.2763282907325589,0.05486365780234337,0.4958147635900481,0.09844164550304413,0.39772366067638076,0.07896612584590912,10.97769162830398,2.17956805229187,17.11169014417553,3.397444009780884,4.280483612755777,0.8498695492744446
17,0.6775122274152041,PRUNED,12.2486945,4.729592901997923,1.257203221321106,0.18883230431786732,0.050194717943668365,0.1911022442662097,0.05079811066389084,0.22606324982997825,0.06009131669998169,8.047773438672262,2.1392300128936768,11.026987848705113,2.9311540126800537,1.9236171164966285,0.511328935623169
18,0.8156343267806191,COMPLETE,33.00815016666667,3.0943803897064006,0.32919690012931824,0.7751911248829196,0.08246901631355286,0.37117872193321805,0.03948799520730972,12.78671501505915,1.36031973361969,23.037699605974996,2.4508748054504395,24.801311744998287,2.6384973526000977,0.9320314702861536,0.09915453940629959
19,0.8166333984718738,COMPLETE,35.8802752,2.7322597934756683,0.35757651925086975,1.2918685749093624,0.16906952857971191,1.2692771575895618,0.1661129593849182,11.740243063832597,1.5364700555801392,17.135139294131246,2.242511510848999,18.663515129721034,2.442533016204834,0.6550353935921776,0.08572584390640259
20,0.8089982943474139,COMPLETE,47.77931935,1.9576758752999819,0.24359114468097687,4.264002106342746,0.5305644273757935,3.448191585551207,0.4290541112422943,11.21967934200999,1.3960504531860352,26.224498986517805,3.2630810737609863,8.285728331291944,1.0309827327728271,0.8573259607609446,0.10667598247528076
